Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
12,Alberto Árias,S,-,-,2,2007,2008,0,1,0,1.000,3.43,18,0,4,0,0,0,21.0,20,8,8,2,9,0,8,1,0,1,88,142,ariasal02
13,Rolando Arrojo,-,-,-,1,2000,2000,0,5,9,.357,6.04,19,19,0,0,0,0,101.1,120,77,68,14,46,6,80,12,2,1,470,96,arrojro01
14,Miguel Asencio,-,-,F,1,2006,2006,0,1,0,1.000,4.70,3,1,0,0,0,0,7.2,9,8,4,1,4,0,7,1,0,0,37,109,asencmi01
15,Andy Ashby,-,-,-,1,1993,1993,0,0,4,.000,8.50,20,9,3,0,0,1,54.0,89,54,51,5,32,4,33,3,3,2,277,57,ashbyan01
16,Pedro Astacio,-,-,-,5,1997,2001,0,53,48,.525,5.43,130,129,0,14,1,0,827.1,920,533,499,139,290,14,749,58,0,19,3646,102,astacpe01
17,John Axford,-,-,-,1,2015,2015,0,4,5,.444,4.20,60,0,43,0,0,25,55.2,56,27,26,4,32,4,62,0,0,1,250,110,axforjo01
18,Manny Aybar,-,-,-,1,2000,2000,0,0,1,.000,16.20,1,0,0,0,0,0,1.2,5,3,3,1,0,0,0,0,0,0,10,41,aybarma01
19,Roger Bailey,S,C,F,3,1995,1997,0,18,19,.486,4.90,92,46,13,5,2,1,356.0,392,216,194,43,161,5,162,15,1,14,1580,107,bailero01
20,Daniel Bard,-,-,F,4,2020,2023,0,21,16,.568,3.83,197,0,113,0,0,61,200.0,161,96,85,18,120,7,223,21,1,10,887,127,bardda01
21,Denny Bautista,-,-,-,2,2006,2007,0,2,2,.500,9.39,13,2,5,0,0,0,15.1,27,22,16,0,8,0,13,1,0,0,81,54,bautide01
